id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
2,0,2023-09-23,1,SDC,2283.49219,FAC-202309-2309291,Mohamed Ali,0,,,0,1,1,0,0,1,0
3,0,2023-09-22,1,SDC,2960.948,FAC-202309-2309278,taher,0,,,0,0,0,0,0,1,0
4,0,2023-10-30,1,SDC,2884.448,FAC-202309-2309277,taher,0,,,0,0,0,0,0,0,0
5,0,2023-09-24,1,SDC,2989.268,FAC-202309-2309283,Nom Prénom,0,,,0,0,0,0,0,0,0
6,0,2023-09-30,1,SDC,3344.666,FAC-202309-2309284,Nom Prénom,0,,,0,0,0,0,0,0,0
7,0,2023-10-30,1,SDC,3210.64975,FAC-202309-2309292,Mohamed Ali,0,,,1,0,0,0,0,0,0
8,0,2023-09-21,1,SDC,3015.265,FAC-202309-2309276,taher,0,,,0,0,0,0,0,0,0
9,0,2024-09-24,1,SDC,2872.68,FAC-202309-2309285,Nom Prénom,0,,,0,0,0,0,0,0,0
11,0,2023-09-27,1,SDC,2932.237,FAC-202309-2309293,Nom Prénom,0,,,0,0,0,0,0,0,0
14,0,2023-10-26,1,SDC,2886.113,BLI-202310-270 JASPE 2,taher,0,,,0,0,0,0,0,0,0
15,0,2023-10-26,1,SDC,1043.832,BLI-202310-269 JASPE 1,taher,0,,,0,0,0,0,0,0,0
16,0,2023-10-25,1,SDC,2775.279,BLI-202310-268 JASPE 3,Nom Prénom,0,,,0,0,0,0,0,0,0
18,0,2023-11-07,1,SDC,3344.009,BLI-202310-268 JASPE 5,Nom Prénom,0,,,0,0,0,0,0,0,0
19,0,2023-08-21,1,SDC,2731.671,FAC-202308-2308228,Nom Prénom,0,,,0,0,0,0,0,0,0
20,0,2023-08-23,1,SDC,2732.407,FAC-202308-2308230,taher,0,,,0,0,0,0,0,0,0
21,0,2023-08-23,1,SDC,2923.361,FAC-202308-2308229,taher,0,,,0,0,0,0,0,0,0
22,0,2023-11-08,1,SDC,1916.233,FAC-202311-2311335,Nom Prénom,0,,,1,0,0,0,0,0,0
23,0,2023-11-10,1,SDC,1430.098,BLI-202311-275 JASPE 6,Nom Prénom,0,,,1,0,0,0,0,0,0
