id,beid,bedate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec,lot
1460,19,2023-08-21,201,3600523925735,ELSÉVE MASQUE COLOR VIVE 310ML,2.0,1,15.3,19.89,18.207,23.67,19.0,15.0,0.0,36.414,5.814,0.0,0.0,
1461,19,2023-08-21,202,3600523925773,ELSÉVE MASQUE DREAM LONG 310ML,6.0,1,15.3,19.89,18.207,23.67,19.0,15.0,0.0,109.242,17.442,0.0,0.0,
1462,19,2023-08-21,203,3600524042455,ELSÉVE MASQUE HYALURON 310ML,6.0,1,16.32,21.216,19.421,25.25,19.0,15.0,0.0,116.525,18.605,0.0,0.0,
1463,19,2023-08-21,204,3600523883806,ELSÉVE CRÈME SANS RINÇAGE FULL RESIST,6.0,1,11.985,15.581,14.262,18.54,19.0,15.0,0.0,85.573,13.663,0.0,0.0,
1464,19,2023-08-21,205,3600523586301,ELSÉVE CRÈME SANS RINÇAGE DREAM LONG,6.0,1,11.985,15.581,14.262,18.54,19.0,15.0,0.0,85.573,13.663,0.0,0.0,
1465,19,2023-08-21,206,3600524053314,ELSÉVE CRÈME SANS RINÇAGE HAYALLURON,6.0,1,13.175,17.128,15.678,20.38,19.0,15.0,0.0,94.07,15.02,0.0,0.0,
1466,19,2023-08-21,207,3061375114010,EXCELLENCE 1.0 NOIR,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1467,19,2023-08-21,208,3600522832003,EXCELLENCE 3.0 CHÂTAIN FONCÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1468,19,2023-08-21,209,3061375115017,EXCELLENCE 3 CHATIN FONCÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1469,19,2023-08-21,210,3061375116014,EXCELLENCE 4 CHÂTAIN,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1470,19,2023-08-21,211,3061375119015,EXCELLENCE 5 CHÂTAIN CLAIR,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1471,19,2023-08-21,212,3061375122015,EXCELLENCE 6 BLOND FONCÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1472,19,2023-08-21,213,3600520619101,EXCELLENCE 6.1 BLOND FONCÉ CENDRÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1473,19,2023-08-21,214,3600520619002,EXCELLENCE 7.1 BLOND CENDRÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1474,19,2023-08-21,215,3600522490432,EXCELLENCE 8 BLOND CLAIR,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1475,19,2023-08-21,216,3061375128017,EXCELLENCE 8.1 BLOND CLAIR CENDRÉ,3.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,75.862,12.112,0.0,0.0,
1476,19,2023-08-21,217,3600522490388,EXCELLENCE 9 BLOND TRÈS CLAIR²,3.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,75.862,12.112,0.0,0.0,
1477,19,2023-08-21,218,3600520887593,EXCELLENCE 9.1 BLOND TRÈS CLAIR CENDRÉ,6.0,1,21.25,27.625,25.288,32.87,19.0,15.0,0.0,151.725,24.225,0.0,0.0,
1478,19,2023-08-21,219,3600520977737,CASTING  N°300 CHÂTAIN FONCÉ,6.0,1,18.743,24.366,22.304,29.0,19.0,15.0,0.0,133.825,21.367,0.0,0.0,
1479,19,2023-08-21,220,3600520978635,CASTING  N°400 CHÂTAIN,6.0,1,18.743,24.366,22.304,29.0,19.0,15.0,0.0,133.825,21.367,0.0,0.0,
1480,19,2023-08-21,221,3600520977751,CASTING  N°415 MARRON GLACE,6.0,1,18.743,24.366,22.304,29.0,19.0,15.0,0.0,133.825,21.367,0.0,0.0,
1481,19,2023-08-21,222,3600520977768,CASTING  N°426 AUBURN GOURMAND,6.0,1,18.743,24.366,22.304,29.0,19.0,15.0,0.0,133.825,21.367,0.0,0.0,
1670,9,2024-09-24,322,6192016401583,DERME SUCRE NÉROLI 250GR,32.0,1,3.534,4.594,4.206,5.47,19.0,10.0,0.0,134.575,21.487,0.0,0.0,
1671,9,2024-09-24,323,6192016401040,DERME SUCRE ROSE 250GR,32.0,1,3.534,4.594,4.206,5.47,19.0,10.0,0.0,134.575,21.487,0.0,0.0,
1672,9,2024-09-24,326,8682835415567,RENES NECK STRIP PACK,12.0,1,10.2,13.26,12.138,15.78,19.0,15.0,0.0,145.656,23.256,0.0,0.0,
1673,9,2024-09-24,363,8003510002207,INTESA STYLING  500ML,12.0,1,8.55,11.115,10.175,13.23,19.0,10.0,0.0,122.094,19.494,0.0,0.0,
1674,9,2024-09-24,325,3574660002515,CLEAN AND CLEAR  DAILY WASH 150ML,6.0,1,15.675,20.378,18.653,24.25,19.0,5.0,0.0,111.919,17.87,0.0,0.0,
1675,9,2024-09-24,324,3574660002522,CLEAN AND CLEAR DEEP ACTION CREAM 150ML,6.0,1,15.675,20.378,18.653,24.25,19.0,5.0,0.0,111.919,17.87,0.0,0.0,
1676,9,2024-09-24,2,3610340318481,U.D SHP OLIVE MYTHIQUE 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
1677,9,2024-09-24,3,3610340232411,U.D SHP TRÉSOR DE MIEL 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
1678,9,2024-09-24,4,3610340232428,U.D SHP RICIN ET D'AMANDE 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
1679,9,2024-09-24,5,3610340232381,U.D SHP CAMOMILLE / MIEL DE FLEUR 200ML,1.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,8.257,1.318,0.0,0.0,
1680,9,2024-09-24,6,3610340652370,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 200ML,12.0,1,6.939,9.021,8.257,10.74,19.0,9.0,0.0,99.089,15.821,0.0,0.0,
