id,blid,bldate,itemid,itembarcode,itemname,quantity,clientid,prixachat,prixvente,prixdeventeht,prixdeventehtremise,tauxtva,clientexonere,remise,montant,totaltva,totalremise,prixachatht,originaldiscount
29,3,2024-07-10,1279,6192002403508,Javel Judy 4.5 L,4.0,5,5.5,5.9,4.958,4.958,19.0,0,0.0,23.6,3.768,0.0,4.622,0.0
56,4,2024-07-10,456,25040101,BRIQUET BTB,1.0,1,0.321,0.5,0.419,0.419,19.0,0,0.0,0.499,0.08,0.0,0.27,0.0
60,5,2024-11-19,1132,2340495000009,Jaspé EDP femme amirat al arab 50 ML,1.0,1,15.38432,20.0,16.806,16.806,19.0,0,0.0,19.99914,3.19314,0.0,12.928,0.0
61,5,2024-11-19,1210,2392805000001,Jaspé EDP homme Blue Chanel 50 ml,1.0,1,15.38432,20.0,16.806,16.806,19.0,0,0.0,19.99914,3.19314,0.0,12.928,0.0
62,5,2024-11-19,1163,2332885000003,Jaspé EDP femme Scandal F 50 ml,2.0,1,15.38432,20.0,16.806,16.806,19.0,0,0.0,39.99828,6.38628,0.0,12.928,0.0
64,6,2024-11-22,235,3600542326452,Garnier eau micellaire rose 400ML,3.0,2,18.8139,24.503,20.591,20.591,19.0,0,0.0,73.50987,11.73687,0.0,15.81,0.0
66,7,2025-01-03,37,6192440000086,JET 7 GEL A COIFFER 150 GR,1.0,5,1.705,2.2,1.849,1.849,19.0,0,0.0,2.20031,0.35131,0.0,1.433,0.0
67,7,2025-01-03,45,6192440002332,JET 7 G.D EXOTIC 500ML,1.0,5,4.409,5.5,4.622,4.622,19.0,0,0.0,5.50018,0.87818,0.0,3.705,0.0
68,7,2025-01-03,60,8697926024306,CLASS CIRE RED POWER 150 ML,1.0,5,5.236,6.9,5.799,5.799,19.0,0,0.0,6.90081,1.10181,0.0,4.4,0.0
69,7,2025-01-03,120,4005900498380,NIVEA aprés rasage deep 100ML,2.0,5,13.858,16.7,14.032,14.032,19.0,0,0.0,33.39616,5.33216,0.0,11.645,0.0
70,7,2025-01-03,130,4005900493033,NIVEA deo homme DEEP DARK WOOD 200ML,11.0,5,9.609,12.5,10.504,10.504,19.0,0,0.0,137.49736,21.95336,0.0,8.075,0.0
