id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
230,2,2024-01-06,1072,2307751000005,versace eros 10 ml,2.0,1,3.878,5.041,4.615,6.0,19.0,0.0,9.23,1.474,
231,2,2024-01-06,1099,3401701000004,Black XS l'excess 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
232,2,2024-01-06,1125,3436511000005,oud vanille 10 ML,3.0,1,3.878,5.041,4.615,6.0,19.0,0.0,13.844,2.21,
233,2,2024-01-06,1133,5019811000005,Gucci Bamboo 10 ML,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
234,2,2024-01-06,1144,3392021000006,victoria secret intense 10 ML,2.0,1,3.878,5.041,4.615,6.0,19.0,0.0,9.23,1.474,
235,2,2024-01-06,1161,2332881000007,Scandal F 10 ml,4.0,1,3.878,5.041,4.615,6.0,19.0,0.0,18.459,2.947,
236,2,2024-01-06,1164,6056431000007,chanel egoiste 10 ml,4.0,1,3.878,5.041,4.615,6.0,19.0,0.0,18.459,2.947,
237,2,2024-01-06,1174,7092351000009,comme evidence yves rocher 10 ml,2.0,1,3.878,5.041,4.615,6.0,19.0,0.0,9.23,1.474,
238,2,2024-01-06,1183,2320201000004,narciso poudrée 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
239,2,2024-01-06,1190,5038681000007,scandal 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
240,2,2024-01-06,1193,3564061000005,Narciso noir 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
241,2,2024-01-06,1196,6800491000008,libre 10 ml,2.0,1,3.878,5.041,4.615,6.0,19.0,0.0,9.23,1.474,
242,2,2024-01-06,1199,3534941000005,212 NYC 10 ml,9.0,1,3.878,5.041,4.615,6.0,19.0,0.0,41.533,6.631,
243,2,2024-01-06,1202,3383151000004,flora 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
244,2,2024-01-06,1205,6068221000005,Black XS 10 ML,2.0,1,3.878,5.041,4.615,6.0,19.0,0.0,9.23,1.474,
245,2,2024-01-06,1208,2392801000005,Blue chanel 10 ml,1.0,1,3.878,5.041,4.615,6.0,19.0,0.0,4.615,0.737,
246,2,2024-01-06,1080,3467363000004,Lacoste Bleu 30 ml,1.0,1,9.05,11.765,10.77,14.0,19.0,0.0,10.77,1.72,
247,2,2024-01-06,1100,3401703000002,Black XS l'excess 30 ml,6.0,1,9.05,11.765,10.77,14.0,19.0,0.0,64.617,10.317,
248,2,2024-01-06,1155,5009513000007,SI 30 ML,1.0,1,9.05,11.765,10.77,14.0,19.0,0.0,10.77,1.72,
249,2,2024-01-06,1158,2324163000003,olympia 30 ML,1.0,1,9.05,11.765,10.77,14.0,19.0,0.0,10.77,1.72,
250,2,2024-01-06,1162,2332883000005,Scandal F 30 ml,3.0,1,9.05,11.765,10.77,14.0,19.0,0.0,32.309,5.159,
251,2,2024-01-06,1175,7092353000007,comme evidence yves rocher 30 ml,1.0,1,9.05,11.765,10.77,14.0,19.0,0.0,10.77,1.72,
252,2,2024-01-06,1101,3401705000000,Black XS l'excess 50 ml,2.0,1,12.928,16.806,15.384,20.0,19.0,0.0,30.769,4.913,
253,2,2024-01-06,1124,2332635000000,stronger with you 50 ML,1.0,1,12.928,16.806,15.384,20.0,19.0,0.0,15.384,2.456,
254,2,2024-01-06,1185,2320205000000,narciso poudrée 50 ml,1.0,1,12.928,16.806,15.384,20.0,19.0,0.0,15.384,2.456,
1062,1,2023-12-22,385,3600550255560,F.P SHP EXPERT NUTRITION (+) 750ML,3.0,1,14.469,19.244,17.218,22.9,19.0,9.0,51.654,8.247,
1063,1,2023-12-22,384,3600550166583,F.P SHP EXPERT NUTRITION 750ML,3.0,1,14.469,19.244,17.218,22.9,19.0,9.0,51.654,8.247,
1064,1,2023-12-22,383,3600550166668,F.P SHP EXPERT COULEUR 750ML,3.0,1,14.469,19.244,17.218,22.9,19.0,9.0,51.654,8.247,
1065,1,2023-12-22,387,3600550166828,F.P A/SHP EXPERT RÉPARATION 750ML,2.0,1,14.469,19.244,17.218,22.9,19.0,9.0,34.436,5.498,
1066,1,2023-12-22,386,3600550166781,F.P A/SHP EXPERT NUTRITION 750ML,3.0,1,14.469,19.244,17.218,22.9,19.0,9.0,51.654,8.247,
1067,1,2023-12-22,390,3600550817584,DESSANGE SHP NUTRI EXTRÊME 250ML,6.0,1,13.195,17.154,15.702,20.41,19.0,9.0,94.212,15.042,
1068,1,2023-12-22,391,3600550153415,DESSANGE SHP NUTRI-EXTRÊME RICHESSE 250ML,6.0,1,13.195,17.14,15.702,20.4,19.0,9.0,94.212,15.042,
1069,1,2023-12-22,392,3600550274783,DESSANGE SHP EXTRÊME 3 HUILE 250ML,6.0,1,13.195,17.154,15.702,20.41,19.0,9.0,94.212,15.042,
1070,1,2023-12-22,389,3600550817591,DESSANGE MASQUE NUTRI-EXTRÊME TRIPLE ACTION 250ML,4.0,1,18.2,23.615,21.658,28.1,19.0,9.0,86.632,13.832,
1071,1,2023-12-22,479,3600550964646,NARTA DEO INVISMAX HOMME  200 ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1072,1,2023-12-22,478,3600550261400,NARTA DEO HOMME PROT 5  200ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1073,1,2023-12-22,285,3600550288544,NARTA DEO HOMME-BACTIPUR ZINC 200ML,5.0,1,10.35,12.182,12.317,14.5,19.0,10.0,61.583,9.833,
1074,1,2023-12-22,287,3600551027746,NARTA DEO HOMME INVISIMAX 0% 200ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1075,1,2023-12-22,483,3600550964660,NARTA DEO FEMME PROT 5 200 ML,5.0,1,10.35,12.182,12.317,14.5,19.0,10.0,61.583,9.833,
1076,1,2023-12-22,481,3600550964684,NARTA DEO FEMME COLOGNE 200 ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1077,1,2023-12-22,482,3600550362374,NARTA DEO FEMME IMPECCABLE 200 ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1078,1,2023-12-22,480,3600550288292,NARTA DEO FEMME bacti pur 200 ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1079,1,2023-12-22,473,3600551027708,NARTA BILLE FEMME  INVISIBLE 0 %,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1080,1,2023-12-22,475,3600550362404,NARTA BILLE FEMME IMPECCABLE,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1081,1,2023-12-22,474,3600550964738,NARTA BILLE FEMME iNVISIBLE,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1082,1,2023-12-22,476,3600550964721,NARTA BILLE FEMME BIO EFFICACITE,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1083,1,2023-12-22,477,3600550964677,NARTA BILLE FEMME PROT 5,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1084,1,2023-12-22,293,3600551027906,NARTA BILLE HOMME INVISMAX 0%,6.0,1,8.918,11.593,10.612,13.8,19.0,9.0,63.675,10.167,
1085,1,2023-12-22,471,3058320028263,NARTA BILLE HOMME CLASIQUE,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1086,1,2023-12-22,472,3600550261523,NARTA BILLE HOMME PROT 5,6.0,1,8.82,11.473,10.496,13.65,19.0,10.0,62.975,10.055,
1087,1,2023-12-22,65,8697926024153,CLASS DEO HOMME BY GRAY 150ML,5.0,1,3.23,4.199,3.844,5.0,19.0,15.0,19.218,3.069,
1088,1,2023-12-22,63,8697926024177,CLASS DEO  HOMME AUSTERE 150ML,6.0,1,3.23,4.199,3.844,5.0,19.0,15.0,23.062,3.682,
1089,1,2023-12-22,64,8697926020322,CLASS DEO  HOMME CHOCO 150ML,5.0,1,3.23,4.199,3.844,5.0,19.0,15.0,19.218,3.069,
1090,1,2023-12-22,66,8697926020308,CLASS DEO HOMME CITIES 150ML,6.0,1,3.23,4.199,3.844,5.0,19.0,15.0,23.062,3.682,
1091,1,2023-12-22,67,8697926020254,CLASS DEO FEMME INNOCENCE 150ML,6.0,1,3.23,4.199,3.844,5.0,19.0,15.0,23.062,3.682,
