id,factid,factdate,itemid,itembarcode,itemname,quantity,clientid,prixachat,prixvente,prixdeventeht,prixdeventehtremise,tauxtva,clientexonere,remise,montant,totaltva,totalremise,prixachatht,originaldiscount,factnum
15,3,2024-04-01 00:00:00,2008,5000146980353,Veet Cream Sensitive 100 ML,72.0,2,8.678,9.54,8.021,8.021,19.0,0,0.0,687.239,109.727,0.0,,0.0,0
16,3,2024-04-01 00:00:00,2009,5000309002601,Veet Cream Rose 100 ML,72.0,2,8.678,9.54,8.021,8.021,19.0,0,0.0,687.239,109.727,0.0,,0.0,0
17,3,2024-04-01 00:00:00,2010,6295120025161,Veet Bandes Des Cires P.Sensitive de 10,120.0,2,6.641,7.3,6.138,6.138,19.0,0,0.0,876.506,139.946,0.0,,0.0,0
18,3,2024-04-01 00:00:00,2011,6295120025154,Veet Bandes de Cire P.Normal de 10,120.0,2,6.641,7.3,6.138,6.138,19.0,0,0.0,876.506,139.946,0.0,,0.0,0
80,10,2024-04-03 00:00:00,370,5285001953332,ELSADA GEL MELITAIRE (Promo)  250GR,6.0,4,3.0,3.33,2.798,2.798,19.0,0,0.0,19.978,3.19,0.0,,0.0,2
81,10,2024-04-03 00:00:00,368,5287000234627,ELSADA GEL ROSE (Promo) 250GR,2.0,4,3.0,3.33,2.798,2.798,19.0,0,0.0,6.659,1.063,0.0,,0.0,2
82,10,2024-04-03 00:00:00,369,5287000234092,ELSADA GEL GRIS (Promo)  250GR,2.0,4,3.0,3.33,2.798,2.798,19.0,0,0.0,6.659,1.063,0.0,,0.0,2
83,10,2024-04-03 00:00:00,2023,5287000234634,ELSADA GEL VERT (Promo)  250 g,2.0,4,3.0,3.33,2.798,2.798,19.0,0,0.0,6.659,1.063,0.0,,0.0,2
84,10,2024-04-03 00:00:00,332,5285001951208,ELEGANCE GEL BLEU CIEL (Promo) 250 GR,3.0,4,3.025,3.33,2.796,2.796,19.0,0,0.0,9.982,1.594,0.0,,0.0,2
85,10,2024-04-03 00:00:00,333,5285001951260,ELEGANCE GEL VIOLET (Promo)  250 GR,3.0,4,4.147,5.4,4.539,4.539,19.0,0,0.0,16.204,2.587,0.0,,0.0,2
86,10,2024-04-03 00:00:00,334,5285001951291,ELEGANCE GEL MELITAIRE (Promo) 250 GR,6.0,4,4.147,5.4,4.539,4.539,19.0,0,0.0,32.408,5.174,0.0,,0.0,2
87,10,2024-04-03 00:00:00,53,6192440002202,JET 7 CREME A RASER MENTE 320ML,1.0,4,5.031,6.55,5.505,5.505,19.0,0,0.0,6.551,1.046,0.0,,0.0,2
88,10,2024-04-03 00:00:00,56,6192440000024,JET 7 GEL A COIFFER 1 KG,1.0,4,4.239,5.5,4.625,4.625,19.0,0,0.0,5.504,0.879,0.0,,0.0,2
89,10,2024-04-03 00:00:00,1641,6130552009993,Papier Hygiène Cotex 4+2 Gratuit,1.0,4,1.999,2.4,2.016,2.016,19.0,0,0.0,2.399,0.383,0.0,,0.0,2
120,13,2024-07-10 00:00:00,1279,6192002403508,Javel Judy 4.5 L,4.0,5,5.5,5.9,4.958,4.958,19.0,0,0.0,23.6,3.768,0.0,,0.0,1
121,13,2024-07-10 00:00:00,634,8681917081027,Sac poubelle xlarge noir 72x95 stepy,2.0,5,4.839,6.3,5.294,5.294,19.0,0,0.0,12.6,2.012,0.0,,0.0,1
122,13,2024-07-10 00:00:00,667,6192433201063,Tampon Expert 7+3,2.0,5,2.723,3.5,2.945,2.945,19.0,0,0.0,7.009,1.119,0.0,,0.0,1
123,13,2024-07-10 00:00:00,651,6192433201650,eponge a recurer inox 2+1 gratuit,6.0,5,2.585,3.4,2.857,2.857,19.0,0,0.0,20.399,3.257,0.0,,0.0,1
124,13,2024-07-10 00:00:00,679,6192433200172,Eponge a recurer inox -1-,2.0,5,1.32,1.7,1.431,1.431,19.0,0,0.0,3.406,0.544,0.0,,0.0,1
125,13,2024-07-10 00:00:00,1264,6192002402280,Judy Vitre 3en1 500 ml bleu Pistolet,2.0,5,4.249,5.5,4.624,4.624,19.0,0,0.0,11.005,1.757,0.0,,0.0,1
126,13,2024-07-10 00:00:00,1634,6192002402365,Judy Vitre 3en1 500mL Vert Pistolet,2.0,5,4.251,5.5,4.621,4.621,19.0,0,0.0,10.998,1.756,0.0,,0.0,1
127,13,2024-07-10 00:00:00,2324,6192002020323,Choc Cuisine 500 ml,1.0,5,3.908,5.5,4.622,4.622,19.0,0,0.0,5.5,0.878,0.0,,0.0,1
128,13,2024-07-10 00:00:00,2322,6192002020316,Choc Salle de Bain 500 ml,1.0,5,3.859,5.5,4.622,4.622,19.0,0,0.0,5.5,0.878,0.0,,0.0,1
129,13,2024-07-10 00:00:00,2099,101012021400,Serpillere,10.0,5,1.02,1.5,1.26,1.26,19.0,0,0.0,14.994,2.394,0.0,,0.0,1
130,13,2024-07-10 00:00:00,1462,6192002402143,Judy Dégraissant 1L,2.0,5,7.28,8.4,7.06,7.06,19.0,0,0.0,16.803,2.683,0.0,,0.0,1
131,13,2024-07-10 00:00:00,1474,6192002402266,Judy Décapant 1L,2.0,5,4.58,5.5,4.623,4.623,19.0,0,0.0,11.003,1.757,0.0,,0.0,1
132,13,2024-07-10 00:00:00,926,6192477610838,Poudre Main Lilas Anti Tache 1KG,3.0,5,5.541,6.4,5.378,5.378,19.0,0,0.0,19.199,3.065,0.0,,0.0,1
