Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
1,3610340232435,50,Garnier U.D SHP 200ML AVOCAT -KARITÉ,8.257,9.6,-1,-14774017,1,1,0.0,19,0,1,6.0,6,7.625,9.0,0.0,19.0,16.26,6.939,8.067,51.0
2,3610340318481,50,Garnier U.D SHP 200ML OLIVE MYTHIQUE,8.257,9.6,-1,-14774017,1,0,9.0,19,0,1,6.0,0,7.625,9.0,0.0,19.0,16.26,6.939,8.067,12.0
3,3610340232411,50,Garnier U.D SHP 200ML TRÉSOR DE MIEL,8.257,9.6,-1,-14774017,1,0,0.0,19,0,1,6.0,0,7.625,9.0,0.0,19.0,16.26,6.939,8.067,
4,3610340232428,50,Garnier U.D SHP 200ML RICIN ET D'AMANDE,8.257,9.6,-1,-14774017,1,0,13.0,19,0,1,3.0,0,7.625,9.0,0.0,19.0,16.26,6.939,8.067,
5,3610340232381,50,Garnier U.D SHP 200ML CAMOMILLE,8.166,9.6,-1,-14774017,1,0,1.0,19,0,1,6.0,0,7.625,10.0,0.0,19.0,17.55,6.863,8.067,
6,3610340652370,1,Garnier U.D SHP 200ML CHARBON NOIR,8.257,9.6,-1,-14774017,1,0,7.0,19,0,1,3.0,0,7.625,9.0,0.0,19.0,16.26,6.939,8.067,
7,3610340634284,1,Garnier U.D SHP 200ML LAIT D'AMANDE,8.166,9.6,-1,-14774017,1,0,0.0,19,0,1,6.0,0,7.625,10.0,0.0,19.0,17.55,6.863,8.067,
8,3610340652745,1,Garnier U.D SHP 400ML shp avocat karité,12.941,13.9,-1,-14774017,1,0,1.0,19,0,1,6.0,0,11.95,9.0,0.0,19.0,7.41,10.875,11.681,18.0
9,3600542418836,1,Garnier U.D SHP 400ML CAMOMILLE,12.941,13.9,-1,-14774017,1,0,0.0,19,0,1,3.0,0,11.95,9.0,0.0,19.0,7.41,10.875,11.681,
10,3610340652356,1,Garnier U.D SHP 400ML CHARBON NOIR,12.798,16.9,-1,-14774017,1,0,9.0,19,0,1,3.0,0,11.95,10.0,0.0,19.0,32.05,10.755,14.202,110.0
11,3610340078941,1,Garnier U.D SHP 400ML RICIN ET D'AMANDE,12.941,16.9,-1,-14774017,1,0,6.0,19,0,1,3.0,0,11.95,9.0,0.0,19.0,30.59,10.875,14.202,111.0
12,3610340027178,0,Garnier U.D SHP OLIVE MYTHIQUE 400ML,15.107,16.9,-1,-14774017,1,0,2.0,19,0,1,6.0,0,13.95,9.0,0.0,19.0,11.87,12.695,14.202,112.0
13,3610340033360,0,Garnier U.D shp trésors de miel 400ML,15.107,16.9,-1,-14774017,1,0,7.0,19,0,1,6.0,0,13.95,9.0,0.0,19.0,11.87,12.695,14.202,113.0
16,3600541702486,2,Garnier U.D A/SHP OLIVE MYTIQUE,9.425,11.3,-1,-14774017,1,0,6.0,19,0,1,6.0,0,8.8,10.0,0.0,19.0,19.9,7.92,9.496,
17,3610340584428,0,Garnier U.D A/SHP TRÉSOR DE MIEL,9.53,11.4,-1,-14774017,1,0,4.0,19,0,1,6.0,0,8.8,9.0,0.0,19.0,19.9,8.008,9.602,117.0
