id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1,887930419481,TORCHE KODAK LED FLASHLIGHT RECHARGEABLE HANDY 150R,2023-10-21,0.0,70.397,91.516,65.608,85.291,Admin,394
2,3610340652745,U.D SHP AVOCAT -KARITÉ 400ML,2023-10-27,0.0,14.221,18.487,12.941,16.824,Admin,8
3,3600523193295,MAGIC RETOUCH 2 CHATIN FONCEE,2023-10-31,0.0,20.944,27.23,20.944,27.227,Admin,228
4,3610340232435,U.D SHP AVOCAT -KARITÉ 200ML,2023-11-03,12.0,8.257,10.735,8.257,10.74,Admin,1
5,3610340318481,U.D SHP OLIVE MYTHIQUE 200ML,2023-11-03,12.0,8.257,10.735,8.257,10.74,Admin,2
6,3610340232411,U.D SHP TRÉSOR DE MIEL 200ML,2023-11-03,12.0,8.257,10.735,8.257,10.74,Admin,3
7,3610340232435,U.D SHP AVOCAT -KARITÉ 200ML,2023-11-09,24.0,8.257,10.74,8.166,10.62,Admin,1
8,3610340232435,U.D SHP AVOCAT -KARITÉ 200ML,2023-11-09,24.0,8.166,10.62,8.257,10.74,Admin,1
9,6194012127207,SAC CADEAU PM 40-12-127 ROSE,2023-11-16,0.0,23.99,31.19,2.399,3.12,Admin,514
10,6192433200646,Tampon super expert 3+1,2023-11-20,0.0,1.0,1.0,2.069,2.69,Admin,683
11,8692531002701,Bol Maxi Bonny 3 L,2023-11-21,12.0,5.1,6.63,5.61,7.29,Admin,592
12,8698532591572,Boite de conservation 850 ml,2023-11-21,12.0,2.5,3.25,2.75,3.58,Admin,556
13,8680398794839,Tasse a bec souple,2023-11-21,12.0,1.75,2.28,1.925,2.5,Admin,532
14,8698532591435,Range couverts orca,2023-11-21,6.0,8.5,11.05,9.35,12.16,Admin,526
15,8699878651180,Planche a decouper GM 30.5x20.5,2023-11-21,6.0,7.249,9.42,7.974,10.37,Admin,593
16,887930420371,RASOIR MAX 2 LAMES,2023-11-24,288.0,1.681,2.19,0.764,0.99,Admin,695
17,887930419986,RASOIR KODAK LADY 6 LAMES,2023-11-24,24.0,6.417,8.34,6.51,8.46,Admin,698
18,887930420371,RASOIR MAX 2 LAMES,2023-11-24,288.0,0.764,0.99,0.852,1.11,Admin,695
