productbysupplierid,supplierid,productid,startingprice,discount,fodec,kupd
1,1,2013,14.18,10.0,0.0,12013
2,1,2014,14.18,10.0,0.0,12014
3,1,2015,14.18,10.0,0.0,12015
4,1,2596,15.882,10.0,0.0,12596
5,1,2598,15.882,10.0,0.0,12598
6,1,178,9.6,9.0,0.0,1178
7,1,186,17.4,10.0,0.0,1186
8,1,323,3.927,10.0,0.0,1323
10,1,321,3.3,0.0,0.0,1321
11,1,1341,2.438,20.0,0.0,11341
12,1,235,18.25,7.0,0.0,1235
13,1,237,18.0,7.0,0.0,1237
14,1,2019,14.747,10.0,0.0,12019
15,1,249,9.8,7.0,0.0,1249
16,8,2632,17.16,0.0,0.0,82632
17,1,1198,12.928,0.0,0.0,11198
18,1,1210,12.928,0.0,0.0,11210
19,1,1095,12.928,0.0,0.0,11095
20,1,1101,12.928,0.0,0.0,11101
21,1,1137,12.928,0.0,0.0,11137
22,1,1142,12.928,0.0,0.0,11142
23,1,1141,9.05,0.0,0.0,11141
24,1,1153,12.928,0.0,0.0,11153
25,1,1163,12.928,0.0,0.0,11163
26,1,1191,9.05,0.0,0.0,11191
27,1,1197,9.05,0.0,0.0,11197
28,1,781,9.8,0.0,0.0,1781
29,1,779,9.8,0.0,0.0,1779
30,1,777,9.8,0.0,0.0,1777
31,1,776,10.8,0.0,0.0,1776
32,1,832,10.8,0.0,0.0,1832
33,1,817,3.902,10.0,0.0,1817
34,1,810,3.902,99.9,0.0,1810
35,1,812,3.902,10.0,0.0,1812
36,1,1310,6.578,10.0,0.0,11310
37,1,245,9.8,7.0,0.0,1245
38,1,240,7.25,7.0,0.0,1240
39,1,12,13.95,9.0,0.0,112
40,1,122,9.5,15.0,0.0,1122
41,1,137,10.2,15.0,0.0,1137
42,1,153,7.2,15.0,0.0,1153
43,1,2501,11.5,15.0,0.0,12501
45,1,2595,14.747,10.0,0.0,12595
46,1,2594,14.747,10.0,0.0,12594
48,1,2597,15.882,10.0,0.0,12597
49,1,1321,6.578,10.0,0.0,11321
50,5,967,1.081,0.0,0.0,5967
52,5,994,14.5,0.0,0.0,5994
53,5,995,14.5,0.0,0.0,5995
54,5,996,12.815,0.0,0.0,5996
55,5,999,2.605,0.0,0.0,5999
56,5,1006,2.437,0.0,0.0,51006
57,5,1028,2.325,0.0,0.0,51028
58,5,1033,27.5,0.0,0.0,51033
59,5,1034,28.501,0.0,0.0,51034
60,5,2572,8.727,0.0,0.0,52572
61,5,2668,4.601,0.0,0.0,52668
73,5,2538,3.771,0.0,0.0,52538
74,8,2695,1.358,0.0,0.0,82695
75,8,2697,1.358,0.0,0.0,82697
76,8,2696,1.358,0.0,0.0,82696
77,8,2847,1.358,0.0,0.0,82847
86,9,2853,5.5,0.0,0.0,92853
87,9,2848,2.2,0.0,0.0,92848
88,9,2852,2.0,0.0,0.0,92852
89,9,1546,2.5,0.0,0.0,91546
90,9,2851,1.5,0.0,0.0,92851
103,5,513,2.016,0.0,0.0,5513
104,5,516,2.016,0.0,0.0,5516
105,5,597,1.664,0.0,0.0,5597
106,5,668,2.105,0.0,0.0,5668
107,5,673,1.373,0.0,0.0,5673
108,5,763,6.586,10.0,0.0,5763
109,5,766,6.381,10.0,0.0,5766
110,5,929,1.463,0.0,0.0,5929
111,5,930,1.463,0.0,0.0,5930
112,5,972,5.2,0.0,0.0,5972
113,5,1030,1.973,0.0,0.0,51030
114,5,1098,1.765,3.0,0.0,51098
115,5,1167,0.529,0.0,0.0,51167
116,5,1260,3.487,0.0,0.0,51260
117,5,1279,3.697,0.0,0.0,51279
118,5,1428,2.8,0.0,0.0,51428
119,5,1429,1.13,0.0,0.0,51429
120,5,1443,2.059,0.0,0.0,51443
121,5,1486,3.852,0.0,0.0,51486
122,5,1575,21.303,0.0,0.0,51575
123,5,1873,3.852,0.0,0.0,51873
124,5,1898,7.983,0.0,0.0,51898
125,5,2144,11.207,0.0,0.0,52144
126,5,2145,2.311,3.0,0.0,52145
127,5,2225,10.2,20.0,0.0,52225
128,5,2266,1.365,3.0,0.0,52266
129,5,2267,1.365,3.0,0.0,52267
130,5,2342,1.513,3.0,0.0,52342
131,5,2346,1.974,0.0,0.0,52346
132,5,2370,1.26,0.0,0.0,52370
133,5,2568,4.601,0.0,0.0,52568
134,5,2617,1.1,0.0,0.0,52617
179,5,771,6.381,10.0,0.0,5771
180,5,1076,2.619,0.0,0.0,51076
182,4,943,21.303,0.0,0.0,4943
183,4,945,13.572,0.0,0.0,4945
184,4,947,14.201,0.0,0.0,4947
185,4,946,13.572,0.0,0.0,4946
186,4,1879,14.202,0.0,0.0,41879
187,4,938,2.787,0.0,0.0,4938
188,4,955,4.243,0.0,0.0,4955
189,4,2404,12.184,0.0,0.0,42404
190,4,2402,12.184,0.0,0.0,42402
191,4,2403,12.184,0.0,0.0,42403
192,4,928,4.656,0.0,0.0,4928
193,4,930,1.463,0.0,0.0,4930
194,4,966,13.033,0.0,0.0,4966
195,4,1010,5.7,0.0,0.0,41010
196,4,1006,2.437,0.0,0.0,41006
197,4,1002,2.541,3.0,0.0,41002
198,4,1001,2.541,3.0,0.0,41001
199,4,1035,28.501,0.0,0.0,41035
205,4,2855,1.325,0.0,0.0,42855
206,4,2856,1.284,0.0,0.0,42856
207,1,1135,12.928,0.0,0.0,11135
209,1,1145,9.05,0.0,0.0,11145
210,1,1155,9.05,0.0,0.0,11155
211,1,1162,9.05,0.0,0.0,11162
213,1,1169,12.928,0.0,0.0,11169
214,1,1173,12.928,0.0,0.0,11173
215,1,1176,12.928,0.0,0.0,11176
216,1,1178,9.05,0.0,0.0,11178
217,1,1181,9.05,0.0,0.0,11181
219,1,1192,12.928,0.0,0.0,11192
220,1,1195,12.928,0.0,0.0,11195
222,1,1200,9.05,0.0,0.0,11200
223,1,1061,9.049,0.0,0.0,11061
224,1,1074,9.05,0.0,0.0,11074
225,1,1081,12.928,0.0,0.0,11081
226,1,1094,9.05,0.0,0.0,11094
228,1,1128,12.928,0.0,0.0,11128
229,1,1132,12.928,0.0,0.0,11132
230,1,1207,12.928,0.0,0.0,11207
231,1,1122,9.05,0.0,0.0,11122
232,1,1063,12.928,0.0,0.0,11063
233,1,1152,9.05,0.0,0.0,11152
234,1,1075,12.928,0.0,0.0,11075
283,1,863,5.574,10.0,0.0,1863
284,1,850,5.574,10.0,0.0,1850
285,1,851,5.574,10.0,0.0,1851
286,1,856,5.574,10.0,0.0,1856
287,1,857,5.574,10.0,0.0,1857
288,1,861,5.574,10.0,0.0,1861
289,1,862,5.574,10.0,0.0,1862
290,1,818,4.914,10.0,0.0,1818
291,1,1365,5.574,10.0,0.0,11365
292,1,1367,5.574,10.0,0.0,11367
293,1,2241,11.8,10.0,0.0,12241
294,1,2766,4.914,10.0,0.0,12766
295,1,1424,23.256,10.0,0.0,11424
296,1,1396,17.584,10.0,0.0,11396
297,1,1403,24.39,10.0,0.0,11403
298,1,2503,12.2,15.0,0.0,12503
299,14,0,1.0,0.0,0.0,140
300,1,46,3.9,5.0,0.0,146
301,1,50,7.5,5.0,0.0,150
302,1,2152,3.781,5.0,0.0,12152
303,1,2153,4.2,5.0,0.0,12153
304,1,2165,3.9,5.0,0.0,12165
305,1,246,9.5,7.0,0.0,1246
306,1,247,9.5,7.0,0.0,1247
307,1,252,9.8,7.0,0.0,1252
333,1,1679,10.2,15.0,0.0,11679
334,1,1682,10.2,15.0,0.0,11682
335,1,1683,6.655,0.0,0.0,11683
336,1,1687,6.655,0.0,0.0,11687
337,1,1689,6.655,0.0,0.0,11689
338,1,1695,6.747,0.0,0.0,11695
339,1,1696,6.747,0.0,0.0,11696
372,1,1297,6.578,10.0,0.0,11297
373,1,1298,6.578,10.0,0.0,11298
374,1,1316,6.578,10.0,0.0,11316
375,1,1328,7.713,10.0,0.0,11328
376,1,729,12.5,7.0,0.0,1729
377,1,730,12.5,7.0,0.0,1730
378,1,318,2.25,5.0,0.0,1318
379,1,741,1.555,0.0,0.0,1741
380,1,446,2.774,10.0,0.0,1446
381,1,820,4.914,10.0,0.0,1820
424,1,76,12.6,15.0,0.0,176
425,1,74,12.6,15.0,0.0,174
426,1,75,12.6,37.0,0.0,175
427,1,77,12.6,15.0,0.0,177
474,1,327,6.35,15.0,0.0,1327
475,1,329,6.35,15.0,0.0,1329
476,1,330,6.35,15.0,0.0,1330
477,1,331,6.35,15.0,0.0,1331
478,1,332,4.2,0.0,0.0,1332
479,1,334,4.2,0.0,0.0,1334
480,1,339,1.6,15.0,0.0,1339
481,1,341,1.6,15.0,0.0,1341
482,1,340,1.6,0.0,0.0,1340
483,1,754,9.0,0.0,0.0,1754
484,1,757,15.0,0.0,0.0,1757
485,1,2232,8.403,0.0,0.0,12232
486,1,775,8.41,10.0,0.0,1775
487,1,773,8.41,10.0,0.0,1773
488,1,342,1.5,15.0,0.0,1342
489,1,344,1.5,15.0,0.0,1344
490,1,343,1.5,15.0,0.0,1343
491,1,483,12.2,10.0,0.0,1483
492,1,2500,12.2,15.0,0.0,12500
493,1,2505,10.955,10.0,0.0,12505
495,1,1,7.625,9.0,0.0,11
496,1,2492,13.6,9.0,0.0,12492
497,1,2381,10.85,15.0,0.0,12381
498,1,243,9.5,7.0,0.0,1243
635,1,1718,12.079,10.0,0.0,11718
636,1,1719,12.079,15.0,0.0,11719
637,1,1720,12.079,15.0,0.0,11720
638,1,1722,12.079,15.0,0.0,11722
639,1,1723,12.079,15.0,0.0,11723
640,1,2377,7.5,15.0,0.0,12377
641,1,172,8.9,15.0,0.0,1172
