itemid,ean,itemname,expirydate,idbe,lot
37,6192440000086,JET 7 GEL A COIFFER 150 GR,2025-12-31,2,
38,6192440000079,JET 7 GEL A COIFFER 350 GR,2026-12-31,2,
39,6192440000925,JET 7 SHP ROSEMARY ACTIVATE 500ML,2024-07-31,2,
40,6192440000888,JET 7 SHP KERATINE VEGETALE 500ML,2026-07-31,2,
41,6192440000895,JET 7 SHP ALOE VERA MAX 500ML,2024-07-31,2,
42,6192440002318,JET 7 G.D FRUTTI 500ML,2026-07-31,20,
43,6192440002349,JET 7 G.D FLORAL 500ML,2026-07-31,20,
44,6192440002325,JET 7 G.D CITRUS 500ML,2026-07-31,13,
45,6192440002332,JET 7 G.D EXOTIC 500ML,2026-07-31,20,
46,6192440002356,JET 7 G.D MARINZ 2EN1 500ML,2026-07-31,20,
47,6192440000390,JET 7 CIRE 40GR,2025-03-01,2,
48,6192440000369,JET 7 CIRE 100G,2026-12-31,2,
49,6192440000611,JET 7 CIRE 200 GR,2026-12-31,2,
50,6192440000406,JET 7 CIRE 510 GR,2025-12-31,2,
51,6192440000420,JET 7 GEL A RASER 510 GR,2025-04-10,2,
52,6192440002219,JET 7 CREME A RASER COOL 320ML,2026-06-30,2,
53,6192440002202,JET 7 CREME A RASER MENTE 320ML,2026-06-30,2,
54,6192440001922,JET 7 SHP KÉRATINE 55ML,2025-04-30,2,
55,6192440000710,JET 7 VASELINE 50ML,2024-12-20,7,
56,6192440000024,JET 7 GEL A COIFFER 1 KG,2025-03-31,2,
63,8697926024177,CLASS DEO  HOMME AUSTERE 150ML,2024-08-23,7,
64,8697926020322,CLASS DEO  HOMME CHOCO 150ML,2024-08-23,7,
65,8697926024153,CLASS DEO HOMME BY GRAY 150ML,2024-08-21,7,
66,8697926020308,CLASS DEO HOMME CITIES 150ML,2024-08-26,7,
67,8697926020254,CLASS DEO FEMME INNOCENCE 150ML,2024-09-02,7,
68,8697926020247,CLASS DEO FEMME ADDICT 150ML,2024-08-31,7,
69,6192005200586,CLASS E.D.T FOR MEN 100ML,2024-08-16,7,
70,8697926015434,CLASS MASQUE ARGAN OIL 1000ML,2025-05-11,7,
71,8697926015458,CLASS MASQUE GARLIC EXTRACT 1000ML,2025-05-12,7,
72,8697926015441,CLASS MASQUE KERATINE 1000ML,2025-06-22,7,
73,8697926025785,CLASS SHP ARGAN OIL 1000ML,2025-12-22,7,
74,8697926025778,CLASS SHP KERATIN  1000ML,2025-12-30,7,
75,8697926025761,CLASS SHP LEMON & MONT  1000ML,2025-12-20,7,
76,8697926025754,CLASS SHP DRAGON FRUIT EXTRACT 1000ML,2025-12-09,7,
77,8697926025792,CLASS SHP PROVITAMIN B5 1000ML,2025-12-19,7,
207,3061375114010,EXCELLENCE 1.0 NOIR,2025-12-06,10,
208,3600522832003,EXCELLENCE 3.0 CHÂTAIN FONCÉ,2026-04-20,10,
209,3061375115017,EXCELLENCE 3 CHATIN FONCÉ,2025-12-06,10,
210,3061375116014,EXCELLENCE 4 CHÂTAIN,2026-01-04,10,
211,3061375119015,EXCELLENCE 5 CHÂTAIN CLAIR,2026-01-04,10,
212,3061375122015,EXCELLENCE 6 BLOND FONCÉ,2025-10-26,10,
213,3600520619101,EXCELLENCE 6.1 BLOND FONCÉ CENDRÉ,2025-12-23,10,
214,3600520619002,EXCELLENCE 7.1 BLOND CENDRÉ,2026-04-17,10,
215,3600522490432,EXCELLENCE 8 BLOND CLAIR,2026-03-28,10,
216,3061375128017,EXCELLENCE 8.1 BLOND CLAIR CENDRÉ,2026-02-09,10,
217,3600522490388,EXCELLENCE 9 BLOND TRÈS CLAIR²,2025-12-13,10,
218,3600520887593,EXCELLENCE 9.1 BLOND TRÈS CLAIR CENDRÉ,2026-04-17,10,
268,7702018978120,GILLETTE STICK COOL WAVE,2025-09-01,4,
269,6192003696206,JOHNSON SHP GOLD 750ML,2024-09-01,4,
270,3574661104058,JOHNSON COLOGNE FLORAL 100ML,2024-01-30,4,
272,3574669908115,JOHNSON LAIT DE TOILETTE 200ML,2025-05-30,4,
275,3574661587745,JOHNSON SAVON LIQUIDE MENTHE,2025-03-30,4,
276,3574661587028,JOHNSON SAVON LIQUIDE CITRON,2025-05-30,4,
312,4015600756758,DENTIFRICE CREST COMPLETE 7 100ML,2026-02-28,6,
313,5410076418145,DENTIFRICE CREST 3D WHITE 100ML,2024-09-30,6,
314,8006540331392,FIXODENT CRÈME ADHÉSIVE MENTHE,2025-03-30,6,
315,8006540331231,FIXODENT CRÈME ADHÉSIVE NEUTRAL,2025-01-30,6,
327,5287000234894,ELEGANCE GEL GRIS 500GR,2026-07-20,5,
328,5285001951482,ELEGANCE GEL VIOLET500GR,2026-07-17,5,
329,5287000234900,ELEGANCE GEL BLEU CIEL 500GR,2026-07-13,5,
330,5285001951369,ELEGANCE GEL MELITAIRE 500GR,2026-07-19,5,
331,5287000234931,ELEGANCE GEL VERT 500GR,2026-07-10,5,
332,5285001951208,ELEGANCE GEL BLEU CIEL 250 GR,2024-07-28,5,
333,5285001951260,ELEGANCE GEL VIOLET  250 GR,2026-07-16,5,
334,5285001951291,ELEGANCE GEL MELITAIRE 250 GR,2024-08-19,5,
335,5285001951215,ELEGANCE GEL JAUNE 250 GR,2026-07-30,5,
336,5285001951192,ELEGANCE GEL GRIS 250 GR,2026-07-25,5,
337,5285001951635,ELEGANCE GEL MELITAIRE 100 GR,2024-08-11,5,
338,5285001951550,ELEGANCE GEL ROSE 100 GR,2024-11-19,5,
339,5285001951543,ELEGANCE GEL BLEU CIEL 100 GR,2024-07-28,5,
340,5285001951536,ELEGANCE GEL GRIS100 GR,2024-07-27,5,
341,5285001951574,ELEGANCE GEL VERT 100 GR,2024-11-23,5,
342,5283022002541,ELEGANCE VERT 65ML,2026-04-12,5,
343,5283022002534,ELEGANCE ROSE 65ML,2026-04-13,5,
344,5283022002626,ELEGANCE JAUNE 65ML,2025-12-01,5,
345,6192005223592,LELLA PARFUM SENSUELLE 90ML,2026-01-31,3,
346,6192005224728,LELLA PARFUM OUD 90ML,2025-04-27,3,
347,6192005224711,LELLA PARFUM ORIENTALE 90ML,2025-05-10,3,
348,6192005223608,LELLA PARFUM BELLE 90ML,2024-06-14,3,
352,6192005227071,LELLA DEO OUD 150ML,2025-01-17,3,
353,6192005227088,LELLA DEO ORIENTALE 150ML,2025-01-17,3,
354,6192005223653,LELLA DEO SENSUELLE 150ML,2024-07-27,3,
355,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,2024-07-27,3,
356,6192005211247,BILLE LELLA MISS 50ML,2025-07-16,3,
357,6192005212763,BILLE LELLA TAJ MOON 50ML,2025-07-18,3,
358,6192005212756,BILLE LELLA SENSUALITY 50ML,2025-10-25,3,
359,6192005211254,BILLE LELLA DESIRE 50ML,2027-05-21,3,
363,8003510002207,INTESA STYLING  500ML,2027-12-30,9,
364,5285001952168,ELEGANCE SERUM 300ML,2026-04-10,1,
365,5285001952328,ELEGANCE  SERUM 120ML,2026-06-02,5,
366,5283022020828,ELEGANCE  SERUM 60ML,2025-12-07,5,
367,8697926017520,REDIST SERUM ARGAN OIL KERATIN 5ML,2025-03-11,5,
368,5287000234627,ELSADA GEL ROSE 250GR,2023-01-16,20,
369,5287000234092,ELSADA GEL GRIS 250GR,2023-02-06,20,
370,5285001953332,ELSADA GEL MELITAIRE 250GR,2023-01-27,20,
398,5000394127562,DURACELL PLUS POWER D2 (R20),2032-07-30,12,
399,5000394127531,DURACELL R 14 PLUS POWER,2031-10-30,12,
400,5000394152496,DURACELL  AA 10 EXTRA LIFE,2032-03-30,12,
401,5000394152557,DURACELL AAA 10 PLUS POWER,2031-03-30,12,
402,5000394152458,DURACELL  AA 6 EXTRA LIFE,2031-03-30,12,
403,5000394152526,DURACELL  AAA 6 EXTRA LIFE,2032-03-30,12,
404,0104043752174649,DURACELL HEARING 675 B6,2025-06-30,12,
415,6931717812430,CARTHAGE PILE AA  B2,2026-03-30,12,
416,6931717812454,CARTHAGE PILE AAA  B2,2025-12-30,12,
417,6931717812478,CARTHAGE  R20 B2,2026-03-30,12,
440,887930423297,KODAK HEARING 13 B6,2024-12-31,13,
441,887930951059,KODAK R14 EXTRA HEAVY DUTY,2025-05-31,13,
442,887930953435,KODAK 9V EXTRA HEAVY DUTY,2026-01-31,13,
443,887930953329,KODAK AAA 4  EXTRA HEAVY DUTY,2026-01-31,13,
444,887930414912,KODAK AAA 1 EXTRA HEAVY DUTY,2025-07-31,13,
445,887930414905,KODAK AA 1  EXTRA HEAVY DUTY,2025-07-31,13,
446,887930951042,KODAK AA 4  EXTRA HEAVY DUTY,2023-07-31,13,
451,4043752334517,MAXELL HEARING 13  B6,2025-09-30,13,
452,4043752334500,MAXELL HEARING 675 B6,2025-07-31,13,
453,5285001951239,ELEGANCE GEL VERT 250 GR,2026-07-11,5,
789,6192488204750,R.B Masque Anti-chute 500 ml,2026-10-23,45,
793,6192488204699,R.B Masque Silver 500 ml,2025-12-12,45,
795,6192488204736,R.B Masque Nutritif 500 ml,2026-05-25,45,
797,6192488202831,R.B Oxydant 30V 120 ml,2026-08-09,36,
798,6192488202848,R.B Oxydant 40V 120 ml,2025-06-12,36,
814,6192488205870,R.B Gel Douche Tropical 470 ml,2026-11-03,36,
815,6192488208581,R.B Gel Douche Délicious 470 ml,2026-11-14,36,
817,6192488208574,R.B Gel Douche Sweet 470 ml,2026-11-16,36,
818,6192488201827,R.B Tienture 7.0,2028-08-06,36,
819,6192488201926,R.B Tienture 6.1,2028-08-07,36,
820,6192488201803,R.B Tienture 5.0,2028-08-10,36,
821,6192488202794,R.B Tienture 6.84,2027-10-03,36,
822,6192488201834,R.B Tienture 8.0,2028-04-28,36,
823,6192488201933,R.B Tienture 7.1,2028-05-01,36,
824,6192488201810,R.B Tienture 6.0,2028-08-06,36,
825,6192488201957,R.B Tienture 7.31,2028-05-11,36,
826,6192488201797,R.B Tienture 4.0,2028-05-02,36,
827,6192488201841,R.B Tienture 9.0,2028-05-08,36,
828,6192488201773,R.B Tienture 1.0,2028-09-27,36,
829,6192488201940,R.B Tienture 8.1,2027-06-30,36,
830,6192488202923,R.B Tienture 9.1,2028-05-10,36,
831,6192488202787,R.B Tienture 5.84,2026-07-11,36,
848,8003650009470,Smac Dégraissant à l'eau de Javel,2025-07-11,37,
849,8002150030526,Smac Netoyant acier brillant 500 ml,2026-03-10,37,
865,5000204660692,Cirage chaussure kiwi  Marron 75 ml,2026-12-01,37,
866,5000204668506,Cirage chaussure kiwi incolor 200 ml,2026-12-01,37,
867,5000204032031,Cirage chaussure kiwi Noir 200 ml,2026-12-01,37,
868,8003650003676,Merrito Aide Repassage 500 ml,2026-06-15,37,
876,8004060021007,Omino Bianco Detachant 500 ml,2026-03-08,37,
