ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
1,663,Serpillere eco 50x80 surfilee,1.0,2.015,2.62,2023-12-08 12:22:38,1,,2.62,Caissier
2,894,Gurlande Bleu Ciel,1.0,12.8,14.0,2023-12-08 14:05:25,1,,14.0,Nom Prénom
2,910,Decort Sapin,1.0,11.8,14.0,2023-12-08 14:05:25,1,,14.0,Nom Prénom
3,907,Decor Sapin,1.0,10.0,14.0,2023-12-08 14:40:38,1,,14.0,Caissier
4,1107,LAVAX WC,1.0,2.142,2.78,2023-12-09 11:55:20,1,,2.78,Caissier
4,891,Bougie Rand 10 pc mult,1.0,3.0,3.8,2023-12-09 11:55:20,1,,3.8,Caissier
5,1021,ET 2 Lilas Jaune Fleuri,1.0,2.763,3.59,2023-12-09 11:56:30,1,,3.59,Caissier
6,619,Batonnets coton tiges carre 200,1.0,2.585,3.36,2023-12-09 12:00:51,0,,3.36,Caissier
7,619,Batonnets coton tiges carre 200,1.0,2.585,3.36,2023-12-09 12:01:32,0,,3.36,Caissier
8,619,Batonnets coton tiges carre 200,2.0,2.585,3.36,2023-12-09 12:03:01,0,,3.36,Caissier
9,731,Mouse Gillette Regulaire 200 ml,1.0,13.834,17.98,2023-12-09 12:05:02,1,,17.98,Caissier
9,472,NARTA BILLE HOMME PROT 5,1.0,10.496,13.64,2023-12-09 12:05:02,1,,13.64,Caissier
9,468,GILETTE BLEU II,2.0,0.929,1.21,2023-12-09 12:05:02,1,,1.21,Caissier
10,1117,Lilas Nett,1.0,2.291,2.52,2023-12-09 12:17:45,1,,2.52,Caissier
11,317,SUCRE ZINA ROSE 200GR,1.0,2.826,3.67,2023-12-09 12:22:10,1,,3.67,Caissier
12,1081,Lacoste Bleu 50 ml,1.0,15.384,20.0,2023-12-09 13:20:14,1,,20.0,Caissier
12,1079,lacoste bleu 10 ml,1.0,4.615,6.0,2023-12-09 13:20:14,1,,6.0,Caissier
12,738,100 M Film Fraicheur STARK,1.0,7.071,8.48,2023-12-09 13:20:14,1,,8.48,Caissier
12,1113,COTONA MOUCHOIR *24,1.0,2.186,2.4,2023-12-09 13:20:14,1,,2.4,Caissier
12,626,Savon Doxa 150 gr white pearl,1.0,2.639,3.43,2023-12-09 13:20:14,1,,3.43,Caissier
12,929,Poudre Main Lilas Savon Marseille 300GR,1.0,1.874,2.06,2023-12-09 13:20:14,1,,2.06,Caissier
13,346,LELLA PARFUM OUD 90ML,1.0,21.242,27.61,2023-12-09 13:22:42,1,,27.61,Caissier
14,647,Eponge Biface,1.0,2.887,3.75,2023-12-09 13:26:01,1,,3.75,Caissier
14,619,Batonnets coton tiges carre 200,1.0,2.585,3.36,2023-12-09 13:26:01,1,,3.36,Caissier
14,552,Cuillere my chef anti-feu,1.0,3.976,5.17,2023-12-09 13:26:01,1,,5.17,Caissier
14,1005,Lilas Clip Super 9,1.0,2.517,2.64,2023-12-09 13:26:01,1,,2.64,Caissier
15,1178,my way 30 ml,1.0,10.77,14.0,2023-12-09 13:53:37,1,,14.0,Caissier
16,788,No Limit Deo Femme Bonne Fille,1.0,5.5,7.15,2023-12-09 14:01:04,1,,7.15,Caissier
16,65,CLASS DEO HOMME BY GRAY 150ML,1.0,3.844,5.0,2023-12-09 14:01:04,1,,5.0,Caissier
16,571,Brosse Lave Evier Oval,1.0,1.98,2.57,2023-12-09 14:01:04,1,,2.57,Caissier
16,672,Eponge plastique A/C poignee-1-,1.0,1.634,2.12,2023-12-09 14:01:04,1,,2.12,Caissier
17,1162,Scandal 30 ml,1.0,10.77,14.0,2023-12-09 14:26:19,1,,14.0,Caissier
17,1018,ET 2 Lilas Déco,1.0,3.406,4.43,2023-12-09 14:26:19,1,,4.43,Caissier
18,748,Papier Aluminium 8M STARK,1.0,2.571,3.09,2023-12-09 14:27:30,1,,3.09,Caissier
18,738,100 M Film Fraicheur STARK,1.0,7.071,8.48,2023-12-09 14:27:30,1,,8.48,Caissier
19,1091,DEX SAVON LIQUIDE BRISES DE PROVENCE 1L,1.0,4.935,5.43,2023-12-09 14:43:00,1,,5.43,Caissier
20,1050,Dex Rihana Lavande 1 L,1.0,2.1,2.31,2023-12-09 15:13:41,1,,2.31,Nom Prénom
20,611,raclette crochet 45 cm,1.0,8.084,9.7,2023-12-09 15:13:41,1,,9.7,Nom Prénom
21,195,ELSÉVE LOW SHP HUIL EXTRA 400ML,1.0,20.349,27.98,2023-12-09 15:25:34,1,,27.98,Nom Prénom
22,1088,DEX SAVON LIQUIDE GRAND BLEU 1L,1.0,4.935,5.43,2023-12-09 15:39:29,1,,5.43,Nom Prénom
22,902,Sapin  pm 10 cm,1.0,3.0,3.8,2023-12-09 15:39:29,1,,3.8,Nom Prénom
22,571,Brosse Lave Evier Oval,1.0,1.98,2.57,2023-12-09 15:39:29,1,,2.57,Nom Prénom
22,877,Dentifrice Miswak 120+50gr,1.0,3.201,4.16,2023-12-09 15:39:29,1,,4.16,Nom Prénom
23,132,NIVEA  DEO HOMME  DRY IMPACT 200ML,1.0,9.609,11.5,2023-12-09 15:44:17,1,,11.5,Nom Prénom
23,1210,Blue Chanel 50 ml,1.0,15.384,20.0,2023-12-09 15:44:17,1,,20.0,Nom Prénom
24,946,Gel Machine Lilas Floral 3L,1.0,16.151,17.77,2023-12-09 15:55:16,1,,17.77,Caissier
25,1087,DET LOT VAISSELLE 600ML*2,1.0,5.669,6.24,2023-12-09 16:04:04,1,,6.24,Caissier
25,461,U.D SHP ENFANT ABRICOT & COTON 400ML,1.0,12.798,14.72,2023-12-09 16:04:04,1,,14.72,Caissier
26,582,Bouteille Sigma 750 cc Gold Barok,1.0,2.75,3.58,2023-12-09 16:12:06,1,,3.58,Caissier
27,349,LELLA COFFRET SENSUELLE,1.0,29.738,38.66,2023-12-09 16:13:53,1,,38.66,Caissier
28,1178,my way 30 ml,1.0,10.77,14.0,2023-12-09 16:33:08,1,,14.0,Caissier
29,1173,sauvage 50 ml,1.0,15.384,20.0,2023-12-09 16:37:50,1,,20.0,Caissier
29,752,Papier Aluminium 2.5M STARK,1.0,0.964,1.16,2023-12-09 16:37:50,1,,1.16,Caissier
30,795,R.B Masque Nutritif 500 ml,1.0,9.468,12.31,2023-12-09 16:40:21,1,,12.31,Caissier
30,779,R.B Shampoo Nutritif 500 ml,1.0,9.431,12.26,2023-12-09 16:40:21,1,,12.26,Caissier
30,888,Chapeau noél barba,1.0,7.0,9.8,2023-12-09 16:40:21,1,,9.8,Caissier
31,1212,gurlande papa noel,1.0,3.8,3.8,2023-12-09 16:41:48,1,,3.8,Caissier
32,1033,Jumbo 5-10 Confort Max,1.0,28.616,30.05,2023-12-09 16:52:35,1,,30.05,Caissier
33,491,Briquet cricket fusion,1.0,1.376,1.79,2023-12-09 16:56:16,1,,1.79,Caissier
34,938,Sol & Surface Folrale,1.0,3.317,3.65,2023-12-09 16:58:03,1,,3.65,Caissier
35,455,BRIQUET CLIPPER PM,1.0,1.041,1.35,2023-12-09 16:59:43,1,,1.35,Caissier
36,1213,dex,1.0,5.849,5.85,2023-12-09 17:02:42,1,,5.85,Caissier
36,958,Sol & Surface Lilas Lavande Jasmin 1L,1.0,3.95,4.34,2023-12-09 17:02:42,1,,4.34,Caissier
36,986,Lingette Antibacterienne 15,1.0,1.128,1.47,2023-12-09 17:02:42,1,,1.47,Caissier
37,1194,Narciso noir 30 ml,1.0,10.77,14.0,2023-12-09 17:05:09,1,,14.0,Caissier
37,1178,my way 30 ml,1.0,10.77,14.0,2023-12-09 17:05:09,1,,14.0,Caissier
38,1096,DET JAVEL 5L,1.0,5.404,5.94,2023-12-09 17:07:13,1,,5.94,Caissier
38,1213,dex,1.0,5.849,5.85,2023-12-09 17:07:13,1,,5.85,Caissier
38,625,Savon Doxa 150 gr elegance,1.0,2.639,3.43,2023-12-09 17:07:13,1,,3.43,Caissier
39,1074,versace eros 30 ml,1.0,10.77,14.0,2023-12-09 17:13:16,1,,14.0,Caissier
40,1028,Lilas Net Classic,1.0,2.291,2.52,2023-12-09 17:29:17,1,,2.52,Caissier
40,1006,Lilas Clip Nuit 8,1.0,2.517,2.64,2023-12-09 17:29:17,1,,2.64,Caissier
41,1197,libre 30 ml,1.0,10.77,14.0,2023-12-09 17:30:45,1,,14.0,Caissier
