ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
439,1617,Gel Douche Sensea Huile D'amande & Miel,1.0,3.7,3.93,2024-08-15 10:43:00,1,,3.93,
441,2507,NIVEA  DEO FEMME Dry fresh,1.0,9.609,11.5,2024-08-18 12:30:02,1,,11.5,
443,2534,Lilas G.Douche Extrème Homme Sensitive 400mL,1.0,4.195,5.2,2024-08-19 16:42:07,1,,5.2,
443,2550,Lilas G.Douche Extrème Femme Fruité 500mL,1.0,4.195,5.2,2024-08-19 16:42:07,1,,5.2,
443,1459,Esuie Tout Maxi Fleur orangé x2 Cotex,1.0,4.75,5.5,2024-08-19 16:42:07,1,,5.5,
446,1584,Papier Toilette Cotex x4,1.0,1.95,2.9,2024-08-24 11:56:08,1,,2.9,
447,59,CLASS CIRE PURPLE POWER 150 ML,2.0,5.236,6.9,2024-08-25 15:23:48,1,,6.9,
447,61,CLASS CIRE WHITE POWER 150 ML,1.0,5.236,6.9,2024-08-25 15:23:48,1,,6.9,
448,2183,Judy Grizay Azur 4L,1.0,6.795,7.9,2024-08-26 20:25:58,1,,7.9,
448,2133,Savon Dove Bleu beauty Cream,1.0,3.582,4.3,2024-08-26 20:25:58,1,,4.3,
448,2264,Savon Dove Go Fresh Revive,1.0,3.582,4.3,2024-08-26 20:25:58,1,,4.3,
454,415,CARTHAGE PILE AA  B2,2.0,0.671,1.0,2024-09-11 11:56:52,1,,1.0,
460,108,NIVEA creme SOFT 50ML,1.0,4.855,6.3,2024-10-01 12:03:25,1,,6.3,
460,365,ELEGANCE  SERUM 120ML,1.0,15.101,18.0,2024-10-01 12:03:25,1,,18.0,
460,2735,JJoia body care massage oil vanille et marshmallow 300ML,1.0,13.629,16.9,2024-10-01 12:03:25,1,,16.9,
460,974,Lilas Serv 30*30 Table,1.0,1.408,1.9,2024-10-01 12:03:25,1,,1.9,
460,2237,Class Deo Homme Mizo 150mL,1.0,2.999,3.34,2024-10-01 12:03:25,1,,3.34,
460,1743,Garnier skin Active Masque Tissu yeux Anti-fatigue,1.0,6.497,7.99,2024-10-01 12:03:25,1,,7.99,
460,1740,Garnier masque Tissu Citron Vitamin C,1.0,10.135,12.5,2024-10-01 12:03:25,1,,12.5,
460,259,Garnier masque tissu hydra bomb 28g,1.0,9.157,11.9,2024-10-01 12:03:25,1,,11.9,
460,1002,Lilas Clip Super 9 Parfume,1.0,2.464,3.2,2024-10-01 12:03:25,1,,3.2,
460,415,CARTHAGE PILE AA  B2,1.0,0.671,1.0,2024-10-01 12:03:25,1,,1.0,
460,2239,Class Deo Homme Brisk 150mL,1.0,2.999,3.34,2024-10-01 12:03:25,1,,3.34,
460,2238,Class Deo Homme Classico 150mL,1.0,2.999,3.34,2024-10-01 12:03:25,1,,3.34,
460,1892,Dettol Savon RE-ENERGIZE 85gr,1.0,1.849,2.4,2024-10-01 12:03:25,1,,2.4,
460,1890,DETTOL Savon cool 85gr,1.0,1.849,2.4,2024-10-01 12:03:25,1,,2.4,
460,1891,Dettol Savon skincare 85gr,1.0,1.849,2.4,2024-10-01 12:03:25,1,,2.4,
