ReceiptID,ReceiptDate,ReceiptTotalHT,ReceiptRemise,ReceiptTVA,ReceiptTotal,ReceiptCashier,ReceiptStatus,ReceiptClientID,ReceiptTable,ReceiptWaiter
439,2024-08-15 10:43:00,3.93,0.0,0.0,3.93,asma,1,1,,
441,2024-08-18 12:30:02,11.5,0.0,0.0,11.5,asma,1,1,,
443,2024-08-19 16:42:07,15.9,0.0,0.0,15.9,taher,1,1,,
446,2024-08-24 11:56:08,2.9,0.0,0.0,2.9,yosra,1,1,,
447,2024-08-25 15:23:48,20.7,0.0,0.0,20.7,taher,1,1,,
448,2024-08-26 20:25:58,16.5,0.0,0.0,16.5,taher,1,1,,
454,2024-09-11 11:56:52,2.0,0.0,0.0,2.0,taher,1,1,,
460,2024-10-01 12:03:25,153.27,0.0,0.0,153.27,taher,1,1,,
470,2024-11-30 11:12:30,51.75,0.0,0.0,51.75,Mohamed Ali,1,1,,
472,2024-12-02 11:11:48,11.24,0.0,0.0,11.24,Mohamed Ali,1,1,,
490,2025-03-09 11:26:28,25.4,0.0,0.0,25.4,Mohamed Ali,1,1,,
491,2025-03-20 11:03:38,47.9,0.0,0.0,47.9,Mohamed Ali,1,1,,
492,2025-03-21 16:33:16,14.3,0.0,0.0,14.3,Hedil,1,1,,
505,2025-03-27 15:25:06,90.9,0.0,0.0,90.9,Mohamed Ali,1,1,,
513,2025-03-30 13:50:04,2.3,0.0,0.0,2.3,Mohamed Ali,1,1,,
515,2025-04-03 13:39:18,89.6,1.6,0.0,88.0,Mohamed Ali,1,1,,
518,2025-04-13 18:31:04,32.8,0.0,0.0,32.8,Mohamed Ali,1,1,,
519,2025-04-14 21:10:41,19.1,0.0,0.0,19.1,Mohamed Ali,1,1,,
520,2025-04-15 19:08:31,19.7,0.0,0.0,19.7,Mohamed Ali,1,1,,
