activitymonth,userid,totalsales,totalmargin,paymentstatus
01-2024,11,71264.1300000002,3241.45300000001,0
01-2025,20,1555.98,113.759,0
01-2025,21,3101.3,132.095,0
02-2024,11,67823.62,3037.90100000001,0
02-2025,21,3148.35,50.792,0
03-2024,11,44097.7799999999,2290.01800000001,0
03-2025,21,1540.2,105.873,0
03-2025,22,20364.06,997.949999999999,0
04-2024,11,7696.44,476.772,0
06-2024,14,7488.85,269.638,0
07-2024,14,36644.5700000001,1747.471,0
07-2024,18,19053.03,845.828,0
07-2024,19,4097.81,244.96,0
12-2023,6,5330.72000000001,240.681,0
12-2023,11,28032.4400000001,1219.762,0
