id,userid,commissiontype,commissionrate,salestotal,margintotal,paymenttotal,status
4,5,Marge,2.0,0.0,0.0,0.0,1
5,6,Marge,5.0,0.0,0.0,0.0,1
6,7,Marge,10.0,0.0,0.0,0.0,1
7,8,Marge,0.0,0.0,0.0,0.0,1
8,9,Marge,0.0,0.0,0.0,0.0,1
9,10,Marge,0.0,0.0,0.0,0.0,1
10,11,Marge,0.0,0.0,0.0,0.0,1
11,12,Marge,0.0,0.0,0.0,0.0,1
12,13,Marge,0.0,0.0,0.0,0.0,1
13,14,Marge,1.0,0.0,0.0,0.0,1
14,15,Marge,0.0,0.0,0.0,0.0,1
15,16,Marge,0.0,0.0,0.0,0.0,1
16,17,Marge,0.0,0.0,0.0,0.0,1
17,18,Marge,0.0,0.0,0.0,0.0,1
18,19,Marge,0.0,0.0,0.0,0.0,1
19,20,Marge,0.0,0.0,0.0,0.0,1
20,21,Marge,0.0,0.0,0.0,0.0,1
21,22,Marge,0.0,0.0,0.0,0.0,1
22,24,Marge,0.0,0.0,0.0,0.0,1
