id,mvtdate,itemid,itembarcode,itemname,movement,blid,ticketid,factnum,clientid,supplierid,beid,motif,brid,buypriceht,sellpriceht,buypricettc,sellpricettc,type,typenum
1,2023-10-21 16:05:19,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,1,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
2,2023-10-21 16:05:19,352,,LELLA DEO OUD 150ML,-1.0,0,1,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
3,2023-10-21 16:20:23,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,2,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
4,2023-10-21 16:20:23,352,,LELLA DEO OUD 150ML,-1.0,0,2,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
5,2023-10-21 16:21:11,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,3,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
6,2023-10-21 16:21:11,352,,LELLA DEO OUD 150ML,-1.0,0,3,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
7,2023-10-21 16:22:35,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,4,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
8,2023-10-21 16:22:35,352,,LELLA DEO OUD 150ML,-1.0,0,4,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
9,2023-10-21 16:23:40,1,,U.D SHP AVOCAT -KARITÉ 200ML,-1.0,0,5,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
10,2023-10-21 16:40:55,1,,U.D SHP AVOCAT -KARITÉ 200ML,-1.0,0,6,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
11,2023-10-21 16:40:55,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,6,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
12,2023-10-21 16:46:06,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,7,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
13,2023-10-21 16:46:06,352,,LELLA DEO OUD 150ML,-1.0,0,7,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
14,2023-10-21 16:47:02,161,,NIVEA KIDS SWIM & PLAY 150 ML,-1.0,0,8,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
15,2023-10-21 16:47:02,352,,LELLA DEO OUD 150ML,-1.0,0,8,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
16,2023-10-25 20:07:49,161,,NIVEA KIDS SWIM & PLAY 150 ML,-3.0,0,9,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1363,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,3.0,0,9,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1364,2023-10-31 00:00:00,1,,U.D SHP AVOCAT -KARITÉ 200ML,1.0,0,6,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1365,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,6,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1366,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,8,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1367,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,8,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1368,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,7,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1369,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,7,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1370,2023-10-31 00:00:00,1,,U.D SHP AVOCAT -KARITÉ 200ML,1.0,0,5,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1371,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,4,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1372,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,4,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1373,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,3,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1374,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,3,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1375,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,2,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1376,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,2,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1377,2023-10-31 00:00:00,161,,NIVEA KIDS SWIM & PLAY 150 ML,1.0,0,1,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1378,2023-10-31 00:00:00,352,,LELLA DEO OUD 150ML,1.0,0,1,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1854,2023-08-21 00:00:00,201,3600523925735,ELSÉVE MASQUE COLOR VIVE 310ML,2.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1855,2023-08-21 00:00:00,202,3600523925773,ELSÉVE MASQUE DREAM LONG 310ML,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1856,2023-08-21 00:00:00,203,3600524042455,ELSÉVE MASQUE HYALURON 310ML,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1857,2023-08-21 00:00:00,204,3600523883806,ELSÉVE CRÈME SANS RINÇAGE FULL RESIST,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1858,2023-08-21 00:00:00,205,3600523586301,ELSÉVE CRÈME SANS RINÇAGE DREAM LONG,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1859,2023-08-21 00:00:00,206,3600524053314,ELSÉVE CRÈME SANS RINÇAGE HAYALLURON,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1860,2023-08-21 00:00:00,207,3061375114010,EXCELLENCE 1.0 NOIR,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1861,2023-08-21 00:00:00,208,3600522832003,EXCELLENCE 3.0 CHÂTAIN FONCÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1862,2023-08-21 00:00:00,209,3061375115017,EXCELLENCE 3 CHATIN FONCÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1863,2023-08-21 00:00:00,210,3061375116014,EXCELLENCE 4 CHÂTAIN,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1864,2023-08-21 00:00:00,211,3061375119015,EXCELLENCE 5 CHÂTAIN CLAIR,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1865,2023-08-21 00:00:00,212,3061375122015,EXCELLENCE 6 BLOND FONCÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1866,2023-08-21 00:00:00,213,3600520619101,EXCELLENCE 6.1 BLOND FONCÉ CENDRÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1867,2023-08-21 00:00:00,214,3600520619002,EXCELLENCE 7.1 BLOND CENDRÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1868,2023-08-21 00:00:00,215,3600522490432,EXCELLENCE 8 BLOND CLAIR,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1869,2023-08-21 00:00:00,216,3061375128017,EXCELLENCE 8.1 BLOND CLAIR CENDRÉ,3.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1870,2023-08-21 00:00:00,217,3600522490388,EXCELLENCE 9 BLOND TRÈS CLAIR²,3.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1871,2023-08-21 00:00:00,218,3600520887593,EXCELLENCE 9.1 BLOND TRÈS CLAIR CENDRÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1872,2023-08-21 00:00:00,219,3600520977737,CASTING  N°300 CHÂTAIN FONCÉ,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1873,2023-08-21 00:00:00,220,3600520978635,CASTING  N°400 CHÂTAIN,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1874,2023-08-21 00:00:00,221,3600520977751,CASTING  N°415 MARRON GLACE,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1875,2023-08-21 00:00:00,222,3600520977768,CASTING  N°426 AUBURN GOURMAND,6.0,0,0,0,0,1,19,,0,0.0,0.0,0.0,0.0,Ticket,0
1940,2023-11-08 16:42:56,102,,NIVEA CRÈME 150ML,-1.0,0,10,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1941,2023-11-08 16:42:56,103,,NIVEA CRÈME 60ML,-1.0,0,10,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1942,2023-11-08 00:00:00,102,,NIVEA CRÈME 150ML,1.0,0,10,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
1943,2023-11-08 00:00:00,103,,NIVEA CRÈME 60ML,1.0,0,10,0,0,0,0,,0,0.0,0.0,0.0,0.0,Ticket,0
2068,2024-09-24 00:00:00,322,6192016401583,DERME SUCRE NÉROLI 250GR,32.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2069,2024-09-24 00:00:00,323,6192016401040,DERME SUCRE ROSE 250GR,32.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2070,2024-09-24 00:00:00,326,8682835415567,RENES NECK STRIP PACK,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2071,2024-09-24 00:00:00,363,8003510002207,INTESA STYLING  500ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2072,2024-09-24 00:00:00,325,3574660002515,CLEAN AND CLEAR  DAILY WASH 150ML,6.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2073,2024-09-24 00:00:00,324,3574660002522,CLEAN AND CLEAR DEEP ACTION CREAM 150ML,6.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2074,2024-09-24 00:00:00,2,3610340318481,U.D SHP OLIVE MYTHIQUE 200ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2075,2024-09-24 00:00:00,3,3610340232411,U.D SHP TRÉSOR DE MIEL 200ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2076,2024-09-24 00:00:00,4,3610340232428,U.D SHP RICIN ET D'AMANDE 200ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2077,2024-09-24 00:00:00,5,3610340232381,U.D SHP CAMOMILLE / MIEL DE FLEUR 200ML,1.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2078,2024-09-24 00:00:00,6,3610340652370,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 200ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2079,2024-09-24 00:00:00,7,3610340634284,U.D SHP LAIT D'AMANDE NOURRICIE 200ML,2.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2080,2024-09-24 00:00:00,8,3610340652745,U.D SHP AVOCAT -KARITÉ 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2081,2024-09-24 00:00:00,9,3610340652769,U.D SHP CAMOMILLE / MIEL DE FLEUR 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2082,2024-09-24 00:00:00,10,3610340652356,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2083,2024-09-24 00:00:00,11,3610340078941,U.D SHP  RICIN ET D'AMANDE 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2084,2024-09-24 00:00:00,12,3610340027178,U.D SHP OLIVE MYTHIQUE 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2085,2024-09-24 00:00:00,13,3610340033360,U.D SHP TRÉSOR DE MIEL 400ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2086,2024-09-24 00:00:00,14,3600542418546,U.D SHP ENFANT ABRICOT & COTON 250ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2087,2024-09-24 00:00:00,15,3600542418638,U.D SHP ENFANT CERISE & AMANDE 250ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2088,2024-09-24 00:00:00,16,3600541702486,U.D A/SHP OLIVE MYTIQUE,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2089,2024-09-24 00:00:00,17,3610340584428,U.D A/SHP TRÉSOR DE MIEL,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2090,2024-09-24 00:00:00,18,3610340079986,U.D A/SHP RINCIN D'AMANDE,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2091,2024-09-24 00:00:00,19,3610340584381,U.D A/SHP CAMOMILLE / MIEL,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2092,2024-09-24 00:00:00,1,3610340232435,U.D SHP AVOCAT -KARITÉ 200ML,12.0,0,0,0,0,1,9,,0,0.0,0.0,0.0,0.0,Ticket,0
2093,2023-09-30 00:00:00,315,8006540331231,FIXODENT CRÈME ADHÉSIVE NEUTRAL,60.0,0,0,0,0,1,6,,0,0.0,0.0,0.0,0.0,Ticket,0
2094,2023-09-30 00:00:00,314,8006540331392,FIXODENT CRÈME ADHÉSIVE MENTHE,12.0,0,0,0,0,1,6,,0,0.0,0.0,0.0,0.0,Ticket,0
2095,2023-09-30 00:00:00,321,3760082620035,COTON PLUS DISQUES 80PIÉCES,24.0,0,0,0,0,1,6,,0,0.0,0.0,0.0,0.0,Ticket,0
2096,2023-09-30 00:00:00,306,3014260099299,ORAL-B BROSSE A DENTS  ENFANT ( 3-5 ANS ),60.0,0,0,0,0,1,6,,0,0.0,0.0,0.0,0.0,Ticket,0
2097,2023-09-30 00:00:00,320,8904304581321,RK LAME STAINLESS,100.0,0,0,0,0,1,6,,0,0.0,0.0,0.0,0.0,Ticket,0
