id,factid,factdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec
1,1,2024-10-19 10:27:35,284,3600550845624,NARTA DEO FEMME FRESHISSIME 200ML,12.0,1,10.35,12.182,12.317,14.5,19.0,10.0,0.0,156.563064,24.997464,14.6184,0.0
2,1,2024-10-19 10:27:35,285,3600550288544,NARTA DEO HOMME-BACTIPUR ZINC 200ML,12.0,1,10.35,12.182,12.317,14.5,19.0,10.0,0.0,156.563064,24.997464,14.6184,0.0
3,1,2024-10-19 10:27:35,286,3600550964707,NARTA DEO HOMME CLASSIC 200ML,12.0,1,10.35,12.182,12.317,14.5,19.0,10.0,0.0,156.563064,24.997464,14.6184,0.0
4,1,2024-10-19 10:27:35,287,3600551027746,NARTA DEO HOMME INVISIMAX 0% 200ML,12.0,1,10.35,12.182,12.317,14.5,19.0,10.0,0.0,156.563064,24.997464,14.6184,0.0
5,1,2024-10-19 10:27:35,293,3600551027906,NARTA BILLE HOMME INVISMAX 0%,12.0,1,8.918,11.593,10.612,13.8,19.0,9.0,0.0,150.6487164,24.0531564,12.52044,0.0
6,1,2024-10-19 10:27:35,383,3600550166668,F.P SHP EXPERT COULEUR 750ML,6.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,125.0359656,19.9637256,10.39176,0.0
7,1,2024-10-19 10:27:35,384,3600550166583,F.P SHP EXPERT NUTRITION 750ML,6.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,125.0359656,19.9637256,10.39176,0.0
8,1,2024-10-19 10:27:35,385,3600550255560,F.P SHP EXPERT NUTRITION (+) 750ML,6.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,125.0359656,19.9637256,10.39176,0.0
9,1,2024-10-19 10:27:35,386,3600550166781,F.P A/SHP EXPERT NUTRITION 750ML,6.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,125.0359656,19.9637256,10.39176,0.0
10,1,2024-10-19 10:27:35,388,3600550258226,F.P A/SHP EXPERT NUTRITION (+) 750ML,3.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,62.5179828,9.9818628,5.19588,0.0
11,1,2024-10-19 10:27:35,387,3600550166828,F.P A/SHP EXPERT RÉPARATION 750ML,6.0,1,14.469,19.244,17.218,22.9,19.0,9.0,0.0,125.0359656,19.9637256,10.39176,0.0
12,1,2024-10-19 10:27:35,390,3600550817584,DESSANGE SHP NUTRI EXTRÊME 250ML,12.0,1,13.195,17.154,15.702,20.41,19.0,9.0,0.0,222.9127992,35.5911192,18.52632,0.0
13,1,2024-10-19 10:27:35,391,3600550153415,DESSANGE SHP NUTRI-EXTRÊME RICHESSE 250ML,12.0,1,13.195,17.14,15.702,20.4,19.0,9.0,0.0,222.730872,35.562072,18.5112,0.0
14,1,2024-10-19 10:27:35,392,3600550274783,DESSANGE SHP EXTRÊME 3 HUILE 250ML,12.0,1,13.195,17.154,15.702,20.41,19.0,9.0,0.0,222.9127992,35.5911192,18.52632,0.0
15,1,2024-10-19 10:27:35,389,3600550817591,DESSANGE MASQUE NUTRI-EXTRÊME TRIPLE ACTION 250ML,9.0,1,18.2,23.615,21.658,28.1,19.0,9.0,0.0,230.1541515,36.7473015,19.12815,0.0
16,1,2024-10-19 10:27:35,356,6192005211247,BILLE LELLA MISS 50ML,12.0,1,2.08,2.8,2.475,3.33,19.0,20.0,0.0,31.9872,5.1072,6.72,0.0
17,1,2024-10-19 10:27:35,359,6192005211254,BILLE LELLA DESIRE 50ML,8.0,1,2.21,2.902,2.63,3.45,19.0,15.0,0.0,23.482984,3.749384,3.4824,0.0
