SupplierID,SupplierName,SupplierContact,SupplierDiscount,SupplierAddress,SupplierCity,SupplierCountry,SupplierPhone,SupplierEmail,SupplierBalance,SupplierStatus,SupplierPastBalance,SupplierTaxCode,SupplierCode
1,SDC,Med ali Kaaouana,0.0,"524,S3 Cité Hana",Bizerte,Tunisie,50757410,,307115.2667071,1,0.0,1374458Q/A/M/000,
2,COTUM,,0.0,rue de lac d'annacy les berges du lac,tunis,tunisie,71862774,commercial@cotum.com.tn,0.0,1,0.0,1097882H/A/M/0000,
3,Négoce distribution (Judy),,0.0,B.P27 CP 8011 DAR CHAABANE EL FEHRY,NABEL,TUNISIE,,,41498.5806072,1,0.0,572238BPM000,
4,lilas,,0.0,,,,,,64216.0863292,1,0.0,,
5,jaspé,,0.0,,,,,,3509.7205959,1,0.0,,
6,Canal Food ( sunsilk),,0.0,,,,,,30512.8604898,1,0.0,,
7,La Brosse,,0.0,36 rue 8600 zi charguia1 2035,tunisie,Tunis,71787686,,0.0,1,0.0,,
8,ESSOURI DISTRIBUTION,,0.0,,,,,,47548.7852936,1,0.0,,
9,Irsan de Service,,0.0,gazella ariana,Ariana,,23342361,,296.376,1,0.0,1728050K/A/M000,
10,Nadhif,,0.0,,,,,,0.0,1,0.0,,
11,peaudeauce,,0.0,,,,,,19140.80819,1,0.0,,
12,Jaspé,,0.0,,,,,,1442.248,0,0.0,,
13,(GTC) Global Trading Company,,0.0,,,,29323838,,3133.19432,1,0.0,,
14,Aseptika,,0.0,,,,,,5403.9797775,1,0.0,,
15,Trading Distr company,,0.0,,,,,,12344.95639,1,0.0,,
16,sojama,moez,0.0,29 av indipendance,ARIANA,TUNISIE,94322257,contact.sojama@gmail.com,5604.45376,1,0.0,1534570/f/a/m/000,
17,RED GO,,0.0,,,,,,7070.6865235,1,0.0,,
18,det,,0.0,,,,,,0.0,1,0.0,,
19,societe el ahram,,0.0,,,,,,1769.99849,1,0.0,,
20,Societe el ahram,,0.0,,,,,,0.0,1,0.0,,
21,correction stock,,0.0,,,,,,967.1572285,1,0.0,,
22,Azur detergents,,0.0,,,,,,5834.2195004,1,0.0,,
23,Inside,,0.0,,,,,,2262.54708,1,0.0,,
24,correction stock axe,,0.0,,,,,,0.0,1,0.0,,
25,smart distribution,,0.0,,,,,,4910.45476,1,0.0,,
26,PHOENIX DISTRIBUTION,,0.0,,,,,,7296.05994,1,0.0,,
27,jaspé,,0.0,,,,,,0.0,0,0.0,,
28,azur cosmetics,,0.0,,,,,,4995.8145788,1,0.0,,
29,ste beedi,,0.0,,,,,,834.0,1,0.0,,ste beedi
30,ste bgm propreté,,0.0,,,,,,123.43672,1,0.0,,
31,ste sponge-jex,,0.0,,,,,,784.1665769,1,0.0,,
32,STE SOL HYGIENE,,0.0,,,,,,697.448,1,0.0,1826033G/P/M 000,
33,Nihel négoce,,0.0,,,,,,1461.722,1,0.0,,
34,andalousia,,0.0,,,,,,1990.7394165,1,0.0,,
35,ste irssan de services,,0.0,,,,,,236.4,1,0.0,,
36,MBwaay delivery,,0.0,,,,,,726.0551,1,0.0,,
37,ulysse hyper,,0.0,,,,,,390.9170076,1,0.0,,
38,BOL TEINTURE,,0.0,,,,,,10.0,1,0.0,,
39,Bakowet,,0.0,,,,,,582.01472,1,0.0,,
40,fleur de printemps,,0.0,lafayette,tunis,,55030703,,1512.7759176,1,0.0,1831233xnc000,
41,Florus distribution,,0.0,,,,,,758.25,1,0.0,,
42,les trois roses de commerce et de distribution,,0.0,,,,,,84.0,1,0.0,,
43,STE BEEDI.COM,,0.0,,,,,,1211.2083,1,0.0,,
44,dziri-byassa,,0.0,,,,,,28.5,1,0.0,a-verifier,a-verifier
